City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ushuaia,-54.8,-68.3,38.82,64,20,6.91,AR,1658868434
Arraial do Cabo,-22.9661,-42.0278,73.36,78,0,14.97,BR,1658868253
Orlik,52.5178,99.825,42.64,84,68,0.72,RU,1658868434
Mataura,-46.1927,168.8643,44.47,97,100,7.02,NZ,1658868435
Chapada dos Guimarães,-15.4606,-55.7497,87.46,22,5,2.98,BR,1658868435
Esperance,-33.8667,121.9,56.79,80,100,5.64,AU,1658868435
Barrow,71.2906,-156.7887,35.62,93,100,17.27,US,1658868436
Rio Grande,-32.035,-52.0986,68.11,93,67,9.24,BR,1658868290
Tezu,27.9167,96.1667,73.62,94,79,3.11,IN,1658868436
Rikitea,-23.1203,-134.9692,75.34,74,83,12.82,PF,1658868437
Dikson,73.5069,80.5464,44.08,96,100,28.14,RU,1658868139
Batagay-Alyta,67.8006,130.4114,67.66,63,95,1.43,RU,1658868437
Batemans Bay,-35.7167,150.1833,50.09,68,17,6.93,AU,1658868437
Bagotville,-28.9833,153.4167,49.86,65,0,9.37,AU,1658868438
Tigil',57.8,158.6667,57.25,54,96,7.99,RU,1658868438
Valleyview,55.0667,-117.2859,78.84,38,43,6.91,CA,1658868438
Hasaki,35.7333,140.8333,79.29,89,98,15.82,JP,1658868294
Airai,-8.9266,125.4092,53.08,70,85,4.12,TL,1658868171
Punta Arenas,-53.15,-70.9167,37.51,65,0,10.36,CL,1658868146
Acarí,-15.4311,-74.6158,68.09,66,52,7.11,PE,1658868439
Dzaoudzi,-12.7887,45.2699,73.29,78,0,9.22,YT,1658868439
Port Alfred,-33.5906,26.891,65.62,48,16,5.77,ZA,1658868440
Genoa,44.4129,8.9573,81.82,79,40,13.8,IT,1658868415
Pompéu,-19.2244,-44.9353,69.66,37,0,1.77,BR,1658868278
San Cristobal,7.7669,-72.225,78.98,62,36,5.01,VE,1658868315
Qaanaaq,77.484,-69.3632,44.02,64,23,4.25,GL,1658868440
Talnakh,69.4865,88.3972,52.21,72,11,4.83,RU,1658868388
Nemuro,43.3236,145.575,63.66,96,99,3.47,JP,1658868441
Şile,41.1754,29.6133,72.27,68,0,10.4,TR,1658868441
Saldanha,-33.0117,17.9442,55.45,88,15,6.2,ZA,1658868441
Lompoc,34.6391,-120.4579,90.01,65,0,12.66,US,1658868442
Tuktoyaktuk,69.4541,-133.0374,62.6,67,100,23.02,CA,1658868442
Lorengau,-2.0226,147.2712,81.23,80,87,8.08,PG,1658868393
Hithadhoo,-0.6,73.0833,80.83,75,100,13.58,MV,1658868165
Luena,-11.7833,19.9167,55.44,36,1,4.47,AO,1658868443
Alihe,50.5667,123.7167,65.32,99,96,2.73,CN,1658868443
Tasiilaq,65.6145,-37.6368,41.16,93,100,0.72,GL,1658868443
Avarua,-21.2078,-159.775,73.45,64,75,11.5,CK,1658868274
Ust-Kuyga,70.0167,135.6,67.12,65,70,0.18,RU,1658868444
Mehamn,71.0357,27.8492,58.95,88,0,0,NO,1658868444
Chokurdakh,70.6333,147.9167,48.02,57,99,12.03,RU,1658868444
Hilo,19.7297,-155.09,87.28,96,75,9.22,US,1658868185
Kosh-Agach,50,88.6667,45.55,74,1,3.76,RU,1658868256
Thompson,55.7435,-97.8558,59.16,88,75,8.05,CA,1658868445
Lebu,-37.6167,-73.65,53.22,79,3,17.05,CL,1658868445
Yar-Sale,66.8333,70.8333,48.15,89,100,8.28,RU,1658868270
